StateCode,Division,YearMonth,Year,Month,PCP,TAVG,PDSI,PHDI,ZNDX,PMDI,CDD,HDD,SP01,SP02,SP03,SP06,SP09,SP12,SP24,TMIN,TMAX
4,3,1895-1,1895,1,8.32,25.5,2.06,2.06,6.17,2.06,0,1225,1.53,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,17,34
4,3,1895-2,1895,2,2.59,30.1,1.86,1.86,0.06,1.82,0,977,0.04,1.21,-99.99,-99.99,-99.99,-99.99,-99.99,20.3,40
4,3,1895-3,1895,3,1.42,34,1.34,1.34,-0.99,0.77,0,961,-0.56,-0.4,0.87,-99.99,-99.99,-99.99,-99.99,23,45
4,3,1895-4,1895,4,1.23,41.8,1.04,1.04,-0.48,0.21,0,696,-0.11,-0.56,-0.49,-99.99,-99.99,-99.99,-99.99,29.5,54.2
4,3,1895-5,1895,5,1.93,49,1.32,1.32,1.17,0.97,0,496,0.8,0.39,-0.17,-99.99,-99.99,-99.99,-99.99,36.9,61.2
4,3,1895-6,1895,6,0.06,57,0.85,0.85,-1.01,0.02,11,251,-1.38,0,-0.18,0.71,-99.99,-99.99,-99.99,41.7,72.2
4,3,1895-7,1895,7,0.3,63.1,0.69,0.69,-0.23,-0.24,43,101,0.04,-1.23,-0.04,-0.5,-99.99,-99.99,-99.99,48.2,78
4,3,1895-8,1895,8,0.34,63.2,0.59,0.59,-0.08,-0.34,46,102,0.25,0.07,-0.97,-0.51,-99.99,-99.99,-99.99,47.6,78.8
4,3,1895-9,1895,9,1.73,52.3,1.49,1.49,2.88,1.49,0,381,1.65,1.41,1.22,0.47,0.88,-99.99,-99.99,38.8,65.8
4,3,1895-10,1895,10,0.21,47.3,-0.59,0.75,-1.76,-0.27,0,549,-1.21,0.27,0.22,-0.03,-0.39,-99.99,-99.99,33.1,61.5
4,3,1895-11,1895,11,1.84,33.8,-0.68,-0.68,-0.45,-0.68,0,936,0,-0.65,0.05,-0.4,-0.49,-99.99,-99.99,22.2,45.5
