Core,DistanceToPith,YearsToPith,Radius,PithCoordinates,Written,
IS110,5.6,6,13.61,"0.000,0.000",11/25/2019,16:52:14
IS111,30.8,14,579.035,"582.528,4.890",3/2/2022,21:09:09
IS112B,1.4,2,51.647,"55.901,13.229",,
IS113,8.1,2,4.614,"6.223,11.917",4/11/2019,21:48:45
IS114B,18.7,12,15.388,"0.000,0.000",3/2/2022,17:08:32
IS115,2.5,1,20.214,"9.885,0.635",1/22/2020,10:03:46
IS116,68.3,11,14.817,"13.018,5.249",3/2/2022,22:54:49
IS117,44.1,21,456.374,"460.925,8.615",3/2/2022,21:50:04
IS118,37.4,10,42.905,"45.635,0.000",3/2/2022,22:10:50
IS11B,3.4,5,24.13,"2.561,9.165",3/2/2022,22:57:56
IS12,43,14,,,12/13/2019,10:12:28
IS120,41.6,14,689.441,"0.000,0.000",11/2/2018,17:04:38
IS121,1.8,1,657.754,"659.426,18.690",3/1/2022,16:16:08
IS122,8.1,1,710.311,"0.000,0.000",12/13/2019,10:00:52
IS123,6.1,4,641.202,"69.744,15.304",3/2/2022,21:04:20
IS124B,0.2,1,16.277,"11.155,4.043",1/22/2020,10:28:13
IS125B,18.3,8,355.896,"364.956,-4.170",,
IS126,29.3,9,190.606,"199.496,10.435",3/2/2022,22:48:21
IS127,14,7,6.71,"4.530,10.414",3/2/2022,21:26:19
IS128,46.4,18,37.888,"740.410,9.631",3/1/2022,16:09:36
IS129,17.6,2,725.022,"11.620,27.855",3/1/2022,15:58:32
IS13,3.3,4,419.756,"11.155,4.932",1/22/2020,10:34:29
IS130B,24.2,7,436.901,"444.331,-10.478",,
IS131B,25.8,8,239.966,"246.867,-10.181",,
IS132,19.4,7,101.6,"111.442,6.773",3/2/2022,22:36:44
IS14,3.2,2,427.672,"0.000,0.000",12/13/2019,10:30:54
IS15,0.6,1,421.301,"7.260,11.515",4/11/2019,20:38:34
IS16,1.4,1,414.105,"15.875,0.169",3/2/2022,22:28:59
IS17,23.2,12,427.736,"0.000,0.000",1/22/2020,10:37:23
IS18,4.9,3,427.926,"0.000,0.000",12/13/2019,11:00:44
IS19,32,20,18.881,"4.551,42.841",3/2/2022,22:23:15
IS21001,46,27,667.66,"715.412,7.832",,
IS21002,56,11,447.717,"457.475,-40.217",,
IS21003,,,,,3/2/2022,17:28:00
IS21004,61.5,17,418.338,"435.737,78.761",11/8/2019,14:27:01
IS21005,22.6,8,433.366,"443.124,-7.218",11/8/2019,14:53:13
IS21006,42.8,17,426,"449.770,-26.268",11/8/2019,15:06:39
IS21007,85.8,26,16.319,"0.000,0.000",11/8/2019,15:40:14
IS21008,21.2,7,462.598,"468.694,38.650",11/8/2019,15:53:26
IS21009,20.9,7,18.775,"8.594,0.339",11/25/2019,14:45:14
IS21010,9.9,4,509.397,"0.000,0.000",2/26/2020,11:49:15
IS235,2,1,11.345,"9.017,3.514",11/25/2019,15:42:17
IS236B,17.6,11,44.852,"10.202,-30.670",,
IS237B,2.7,4,,,3/2/2022,22:51:23
IS238,13.2,15,61.828,"66.971,-11.451",4/12/2019,13:03:41
IS239,10.9,13,13.822,"11.578,4.530",1/22/2020,10:38:28
IS240B,19.8,15,193.358,"197.548,38.248",,
IS241,2.8,4,397.933,"23.156,6.943",3/2/2022,23:02:10
IS242,15.5,23,423.587,"0.000,0.000",11/25/2019,15:52:42
IS243,2.7,1,408.009,"13.420,9.864",11/25/2019,16:37:37
IS244,13.7,11,52.811,"34.883,6.075",3/2/2022,22:21:35
IS245,4.1,1,15.981,"0.000,0.000",2/26/2020,11:57:51
IS246,9.4,3,17.103,"0.931,0.148",4/7/2020,11:37:25
IS247,9.9,8,235.14,"240.474,3.217",3/2/2022,21:54:37
IS248,17.6,5,108.183,"121.878,6.096",3/1/2022,16:38:05
IS249,15.1,14,243.057,"248.835,-13.018",12/7/2018,16:05:33
IS250,1.6,1,172.508,"177.228,0.127",12/7/2018,16:12:09
IS251,12.2,13,89.027,"95.250,-18.330",12/7/2018,16:23:25
IS252,15.5,13,16.15,"0.000,0.000",1/22/2020,10:47:58
IS254,2.3,1,21.315,"0.000,0.000",1/22/2020,10:46:25
IS255,37.4,26,245.11,"252.032,10.435",3/2/2022,17:49:32
IS31011,94.6,42,23.749,"0.000,0.000",12/13/2019,9:37:09
IS31012,22.2,21,11.451,"2.963,11.366",3/2/2022,20:50:51
IS31013,37.7,31,408.517,"440.690,-21.653",11/15/2019,14:57:51
IS31014,72.8,24,35.92,"12.700,3.535",1/22/2020,11:07:01
IS31015,14.8,7,426.17,"448.225,0.593",11/15/2019,15:20:01
IS31016,32,7,400.96,"410.845,49.848",11/15/2019,15:36:30
IS31017,53.3,13,45.466,"0.000,0.000",2/26/2020,11:59:55
IS31018,32,25,37.719,"0.000,0.000",1/22/2020,10:55:04
IS31019,68.1,19,8.742,"12.171,23.601",3/1/2022,20:02:59
IS3200,33.7,18,272.161,"301.308,51.710",,
IS370,26,18,153.776,"7.408,2.011",1/22/2020,11:08:14
IS371,66.9,14,178.054,"137.795,138.240",1/18/2019,15:16:05
IS372,1.6,2,236.791,"244.602,-9.186",1/18/2019,15:22:41
IS373,6.8,3,7.493,"15.896,8.086",1/22/2020,11:18:38
IS374,4.7,4,9.038,"0.402,14.922",1/18/2019,15:43:52
IS375,9.6,7,398.42,"416.878,6.244",3/2/2022,22:31:02
IS376,4.7,4,155.765,"0.000,0.000",1/22/2020,11:19:39
IS377,7.3,3,173.164,"136.652,136.377",1/18/2019,16:00:16
IS378,4.8,5,202.713,"212.788,0.063",1/18/2019,16:07:08
IS379,20.7,15,1.693,"4.487,13.716",3/2/2022,17:15:48
IS380,40.5,14,148.908,"154.919,9.398",3/2/2022,21:58:16
IS381,22.3,29,5.292,"10.118,8.170",1/22/2020,11:23:40
