Metric,IS41mean,IS41lo,IS41hi,IS18mean,IS18lo,IS18hi,OH41mean,OH41lo,OH41hi,OH18mean,OH18lo,OH18hi,
BAH,34,32.40522,35.59478,29.93333,29.25674,30.60993,24.2,20.78484,27.61516,21.5,18.6069,24.3931,
TPH,113.3333,86.33745,140.32922,120.3333,114.52147,126.1452,60,51.26311,68.73689,113.6667,85.00581,142.32752,
meanDBH,59,51.2758,66.7242,47.36667,45.82142,48.91191,66.76667,65.40489,68.12845,40.86667,36.7056,45.02773,
QMD,64.83333,56.97705,72.68961,56.33333,55.51209,57.15458,71.73333,69.82342,73.64325,50.83333,46.64194,55.02473,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
