Site,Plot,Date,Spec,DBH,Dec ,X,Y,Z,CrHt,SrchHt,Core#,Comments
IS,IS1,16-Aug,PIJE,128.5,,-50.8,3.9,-5.0,14.0,7.0,29,
IS,IS1,14-Aug,PIJE,119.0,,-49.8,-8.8,-4.4,12.5,10.0,28,
IS,IS1,16-Aug,PIJE,30.5,1,-48.7,12.1,-5.0,,4.3,,
IS,IS1,16-Aug,PIJE,24.0,1,-46.9,0.9,-4.5,,4.0,,
IS,IS1,14-Aug,PIJE,20.1,1,-45.7,-6.2,-4.1,,3.5,,
IS,IS1,14-Aug,PIJE,38.8,1,-45.5,-17.3,-3.0,,8.0,,
IS,IS1,14-Aug,PIJE,24.3,1,-45.5,-4.3,-4.3,,3.0,,
IS,IS1,16-Aug,PIJE,72.0,,-42.0,19.9,-4.4,9.5,4.5,21,
IS,IS1,16-Aug,PIJE,36.6,,-40.7,38.8,-4.9,5.0,4.0,,
IS,IS1,14-Aug,PIJE,53.0,,-40.4,-15.9,-3.3,11.0,9.0,,
IS,IS1,16-Aug,PIJE,102.9,,-39.5,8.5,-3.9,13.0,7.8,,
IS,IS1,16-Aug,PIJE,29.0,1,-39.2,4.5,-3.8,,4.0,,
IS,IS1,14-Aug,PIJE,6.1,1,-38.3,-4.2,-3.5,,0.5,,
IS,IS1,16-Aug,PIJE,13.8,1,-37.2,5.6,-3.8,,1.5,,
IS,IS1,16-Aug,PIJE,19.5,1,-36.4,2.2,-3.4,,2.5,,
IS,IS1,16-Aug,PIJE,31.4,1,-34.5,-7.9,-2.8,,3.5,,
IS,IS1,14-Aug,PIJE,48.7,,-34.2,-19.5,-2.7,12.0,6.0,,
IS,IS1,14-Aug,PIJE,48.4,,-33.7,-16.4,-2.8,9.0,8.0,,
IS,IS1,14-Aug,PIJE,48.6,,-33.5,-16.8,-2.7,12.0,6.0,,
IS,IS1,14-Aug,PIJE,41.3,,-32.5,-10.2,-2.9,13.4,5.5,,
IS,IS1,14-Aug,PIJE,46.0,,-32.1,-20.6,-2.5,11.0,5.0,,
IS,IS1,14-Aug,PIJE,26.8,1,-30.9,-10.2,-2.8,,7.1,,
IS,IS1,14-Aug,PIJE,34.2,,-30.8,-10.4,-2.7,13.5,6.0,11,
IS,IS1,14-Aug,PIJE,36.0,,-29.9,17.1,-2.3,11.0,5.0,,
IS,IS1,16-Aug,PIJE,140.6,,-29.3,16.8,-2.9,12.0,6.2,,
IS,IS1,14-Aug,PIJE,44.2,,-29.2,-32.2,-1.8,9.0,3.5,,
IS,IS1,14-Aug,PIJE,19.6,1,-28.6,-17.9,-2.3,,4.5,,
IS,IS1,14-Aug,PIJE,21.0,1,-27.6,-21.0,-2.0,,3.5,,
IS,IS1,14-Aug,PIJE,50.5,,-26.6,-25.6,-1.7,10.0,3.0,,
IS,IS1,14-Aug,PIJE,33.2,,-24.8,-33.2,-1.4,10.2,7.7,,
IS,IS1,14-Aug,PIJE,124.5,,-24.0,-5.1,-1.9,13.0,6.0,22,
IS,IS1,14-Aug,PIJE,34.8,,-23.9,-33.0,-1.4,10.2,7.7,,
IS,IS1,16-Aug,PIJE,98.5,,-23.3,6.5,-2.0,15.0,6.0,23,
IS,IS1,16-Aug,PIJE,92.1,,-22.0,6.3,-1.9,14.5,6.3,24,
IS,IS1,14-Aug,PIJE,11.0,1,-21.2,-25.4,-1.3,,0.5,,
IS,IS1,16-Aug,PIJE,82.3,,-20.6,4.0,-1.7,18.4,6.0,,
IS,IS1,14-Aug,PIJE,39.8,,-20.4,-18.4,-1.3,10.0,2.5,,
IS,IS1,14-Aug,PIJE,23.5,,-19.8,-17.0,-1.3,10.0,2.5,,
IS,IS1,14-Aug,PIJE,23.0,1,-19.6,-32.8,-1.1,,6.0,,
IS,IS1,16-Aug,PIJE,60.0,1,-19.0,2.5,-1.7,,4.6,,
IS,IS1,14-Aug,PIJE,39.0,1,-18.5,-24.1,-0.9,,2.5,,
IS,IS1,14-Aug,PIJE,19.4,,-19.8,-17.7,-1.2,10.0,2.5,,
