Site,Plot,Date,Spec,Dec,LgDia,X,Y,Z,SmDia,SmX,SmY,SmZ,comments
IS,IS1,8/15/18,PIJE,2,25,-41.6,20.5,-4.4,20,-43.3,24.7,-4.8,
IS,IS1,8/15/18,PIJE,3,28,-27.3,20.4,-2.7,20,-20.1,20,-2.3,
IS,IS1,8/15/18,PIJE,2,72,-34.6,29.2,-3.9,53,-41.7,38.4,-5,
IS,IS1,8/15/18,PIJE,3,22,-29.3,32,-3.4,20,-23.1,34.8,-2.9,
IS,IS1,8/15/18,PIJE,3,71,-15.8,37.5,-2.1,58,-15.3,54.1,-2.7,
IS,IS1,8/15/18,PIJE,3,64,-16.4,37.3,-2.1,61,-21.6,52.2,-2.9,
IS,IS1,8/15/18,PIJE,3,55,-23,48.5,-3,23,-24.3,44.9,-3.1,
IS,IS1,8/15/18,PIJE,3,23,-9.3,47.3,-1.8,20,-8.2,47.3,-1.6,
IS,IS1,8/15/18,PIJE,2,22,-10.1,52.9,-1.8,20,-9.3,53.2,-1.9,
IS,IS1,8/15/18,PIJE,5,47,-13.2,35.4,-1.8,20,13.4,32.4,0.5,
IS,IS1,8/15/18,PIJE,3,20,-16.2,29.6,-2,20,-14.9,29.3,-2.1,
IS,IS1,8/15/18,PIJE,3,47,-7.3,17.2,-0.9,20,-1.8,23.9,-0.5,"wood solid, but burnt"
IS,IS1,8/15/18,PIJE,3,30,5.2,30.5,-0.2,20,4.9,24.7,-0.1,"wood solid, but burnt"
IS,IS1,8/15/18,PIJE,3,31,13.8,22.6,0.7,20,8.7,28.2,0.1,"wood solid, but burnt"
IS,IS1,8/15/18,PIJE,3,22.5,15.6,19.6,0.9,22,16.7,24.3,0.8,"wood solid, but burnt"
IS,IS1,8/15/18,PIJE,2,24,20.7,17.9,1.3,20,17.4,21.3,1,
IS,IS1,8/15/18,PIJE,3,24.5,21.6,19.6,1.5,20,18.9,22.6,1,
IS,IS1,8/15/18,PIJE,3,26,23.5,21.4,1.7,20,21.8,26,1.3,"wood solid, but burnt"
IS,IS1,8/15/18,PIJE,3,23.5,26.1,18.5,1.9,20,24.5,26.3,1.5,
IS,IS1,8/15/18,PIJE,3,25,26.7,22.3,1.7,20,26,29.7,1.5,"wood solid, but burnt"
IS,IS1,8/15/18,PIJE,3,62,28.4,19.8,1.7,20,24.8,24.3,1.6,
IS,IS1,8/15/18,PIJE,2,36.5,16.7,13.7,1.1,21,24.6,16.9,1.7,
IS,IS1,8/15/18,PIJE,3,26,21.4,12.9,1.5,20,26.3,14.4,1.7,
IS,IS1,8/15/18,PIJE,3,34,30.5,19.1,2.1,20,28.5,9.7,2,
IS,IS1,8/15/18,PIJE,2,48,33,25.8,2.2,20,33.7,26.7,2.1,
IS,IS1,8/15/18,PIJE,5,40,29.9,26.6,1.9,40,31.1,28.3,1.9,
IS,IS1,8/15/18,PIJE,2,23,35.5,2.9,2.7,20,37.4,2.8,2.6,
IS,IS1,8/15/18,PIJE,3,51,15.5,-19.2,1.6,20,32.8,-7.4,2.6,
IS,IS1,8/15/18,PIJE,3,63,21.2,-5.1,1.9,20,28.4,-26.8,2.4,"wood solid, but burnt"
IS,IS1,8/15/18,PIJE,2,23,31.3,11,2.3,20,33.5,14.5,2.4,
IS,IS1,8/15/18,PIJE,3,33,36.9,10,2.6,20,36.7,16.4,2.6,"wood solid, but burnt"
IS,IS1,8/15/18,PIJE,5,92,35,1.6,2.6,20,40.1,15.2,2.7,
IS,IS1,8/15/18,PIJE,2,23,38.8,4.3,2.8,20,39.8,5.8,2.8,
IS,IS1,8/15/18,PIJE,3,37,30.7,8.4,2.2,26,35.5,9.3,2.6,
IS,IS1,8/15/18,PIJE,3,27,44.6,10.9,3,20,41.5,12.1,2.8,"wood solid, but burnt"
IS,IS1,8/15/18,PICO,1,44,50.1,9.7,3.2,43,55.7,16,3.4,
IS,IS1,8/15/18,PIJE,2,26,29.6,0.8,2.3,21,32.3,1.3,2.5,
IS,IS1,8/15/18,PIJE,3,23,30.6,5.7,2.4,20,29.3,6.8,2,
IS,IS1,8/15/18,PIJE,2,23,-5.1,-25,0.1,20,-7.8,-24.7,-0.1,
IS,IS1,8/15/18,PIJE,3,25,-21.6,-41.1,-1,20,-21.9,-38.9,-1.1,
IS,IS1,8/15/18,PIJE,4,55,-31,-39.6,-2.1,50,-23.6,-45.3,-1.3,
IS,IS1,8/15/18,PIJE,4,55,-20,-17.6,-1.4,50,-6.2,-2.1,-0.5,
IS,IS2,8/16/18,PIJE,3,38,-3.3,23.6,-0.1,20,1.4,25.3,0.3,
